id,type,text1,text2,text3,notes
LTA_Epattcudi,SHIP,"The ship modification on record as the “Epattcud I” is less a functional ship and more a mess of loosely welded and oversized armor plates, sheet metal and flux coils, rigged to a set of barely burn-capable engine parts from a variety of ships.
Its reasonably competent flux systems barely accommodate its bulky frame and weapons mounts, though it has been rigged to support what amounts to a large ballistic turret.

First found floating above the Hegemony base of Ancyra, its crew out-of-supplies and fuel, the small hegemony patrol fleet that uncovered the ship decided to classify this strange ship design ethos as “Epattcud”, in an effort to make it easier for them to identify amid the rather immense variety and specification differences in off-blueprint or part-autofactoried ships. Though rumour states that in fact the name originated as a joke, aimed at the dubiously viable construction of the ship in question. The name has quickly caught on, and is now used to classify a large number of off-book ship designs and styles of mostly unknown or unorthodox origins.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudii,SHIP,"The “Epattcud II” appears to be a collection of scrapped Enforcer hulls, gutted and welded onto the front and interior of a Dominator class cruiser's frontal armament, despite its appearance this ship boasts a fairly competent turret layout, and a standard-industry autofactory has been integrated into the hull and hacked to produce small machine-gun equipped pilotless drones. The small frame of this cruiser appears to lend some maneuverability, but its turret arrangement and pd coverage potential is anaemic at best.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudiii,SHIP,"An attempt to install a large missile bay behind undersized mounts, the “Epattcud III” styled scrapships appear to be pieced together from busted up Hound and Dominator parts. They often sport unorthodox combinations of readily available missile types, and are known to have use as a sub-standard but still functional sensor array. The Dominator segments appear to have retained their internal ammo feeder and mounting clamps, so many variants of this ship are known to sport oversized, under-fluxed large cannons.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudiv,SHIP,"The “Epattcud IV” style scrapships are known more for their incredibly poor assembly than their status as actual ships, leading to them scaring older or more inexperienced freight captains with their barely-rigged ammo-feeder modifications. These ships are often under-gunned, under-crewed and under-armored, lending to very few of their sightings to result in civilian or military casualties, save perhaps their own.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudv,SHIP,"During a patrol, a Hegemony convoy noted the presence of a large number of borer drones, hacking off sections of hull and armor in the Aztlan system ship graveyard, this was the first registered encounter with “Epattcud V” style designs. In a future report, it was noted that they often possess a number of distributed Shepherd drone autofactories, covered by thick hull and a small weapons complement.
It was also discovered that several parts for these style of ship, when recovered, appeared to show evidence of autoforged parts and a colloquial blueprint, keeping all designs far more alike in execution than any seen prior. It is now assumed that Pirates and other unlawfuls have access to at least one major shipyard.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudvi,SHIP,"“Epattcud VI” is the name assigned to the warship of unknown origins that covered the pirate assault of Arcadia; little is known of its specifications, though it is thought to be made of mostly nanoforged or autofactory-constructed parts, assembled in two different sections, then joined together to form a full capital ship. The shadow it cast over the station is still etched into the minds of those who live there, and the destruction of the patrol fleets that tried to protect the docking ports has become a story often told in station bars on the fringe. The Hegemony response fleet sent from Corvus arrived to find a terrified populace, panicking amidst a raided station and gutted fuel storage, and has since issued a system warning code specifically for this ship.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudvii,SHIP,"The “Epattcud VII” is one of the more well known scrapship designs, owing to it utilising the melded hulls of many outmoded condor designs, often found in ship graveyards or scrap arrays. Despite this, it is rarely seen, and boasts an underwhelming armament, save for one large over-engineered mount, bolted between the fighter bays inside the ship. Rampant over-welding is often prevalent in this style of ship, due to how thin the armor plating is on the outmoded condor chassis; leading to an overextended, bulky, hard to maneuver hull that is easily overwhelmed in large engagements.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudviii,SHIP,"In a battle between the Hegemony and a rich pirate warlord, several Enforcer class destroyers had their bridge blown out by cannons and bombers from a ship currently classified as “Epattcud VIII”. This rare vessel appears to be an autoforge or nanoforge assisted bastardization of a colossus and a derelict Dominator, with the interior having massive portions directly open to space to provide entry to the various autofactories inside. The impressive frontal firepower of this ship is notably marred by a lack of competent rear protection, though nonetheless it is known to be incredibly potent for a pirate vessel, and mercenary captains are encouraged to report fleets using this design ethos on a ship to the nearest large patrol fleet so they can more safely dispatch it.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudix,SHIP,"A large frigate design, the “Epattcud IX” is a known un-blueprinted ship, often constructed from components of many other frigates. They often have large swathes of their exposed hull and armor covered in graffiti, and boast a number of different weapon mounts. They are also known for their often reckless captains, who have been known to over-extend into mercenary fleet lines and get disabled by fighter fire.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudx,SHIP,"A horror story whispered of in fringe ports, the “Epattcud X” is a nightmarish tale of an entity, oft disregarded as fiction by Tri-Tachyon commanders, Hegemony officers and Church delegates. If the rumours are to be believed, outer core mercenary companies have had engagements with these gigantic amalgams of various vessels and nanoforged parts, and the Lovecraftian tales stemming from the engagements have often been spread by the few survivors of such encounters.

Monstrously large, these vessels are a pirate symbol of power, boasting the most valuable parts of the most expensive ships the pirates have been able to gut out and reform. When out of fuel, such ships are large enough to become a temporary pirate base until refueling endevours are undertaken, and their tactical prowess is only marginally sullied by absence of competent engine defense systems. Their frontal array is almost always spoken of as being bolstered by a number of ripped-out Onslaught TPC batteries, and reports of crew being blown out of maintenance decks by unexpected static mines are prevalent.


Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxi,SHIP,"The “Epattcud XI” is a small, nanoforge constructed corvette descovered more recently by patrol forces, boasting surprisingly competent flux systems and excellent maneuverability and engine power. Pirates seem to have constructed this ship from the ground up, and have bolstered its attack prowess with an enhanced ammo-feeder system distributed between its guns. It is known to sometimes mount energy weapons on a side port, and on occasion hegemony frigate captains are caught off-guard by its ferocious bite. The success of this tiny vessel has been significant enough that they have become common knowledge, and many pirate fleets have been discovered to sport this tiny unorthodox frigate.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxii,SHIP,"On occasion, a ship often mistaken for a modified mudskipper has been observed in unlawful fleets. The “Epattcud XII” is a boxy, shieldless brick of armor and engines, with a stripped-down drone port installed in a space that in a normal military design would house additional fuel reserves or cargo bays. A single large turret taking up the majority of the entire design sits prominently upon the top of this vessel, and small patrol fleets that have misjudged this ship's strength have told stories of busted shield generators, armor and rushed retreats.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxiii,SHIP,"Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxv,SHIP,"The “Epattcud XV” appears to be a heavily converted, up armored kite chassis, with additional weaponry haphazardly installed and bolted on top and around the vessel. So much has changed about the vessel that its original atmospheric wings are almost entirely concealed amidst a plethora of armor plates, ammo distributors and flux coils. Nestled inside the vessel, next to a gutted bridge segment that has been converted into a ballistic hardpoint, sits a small flare autofactory, set to fire out of a frontal dispersement port.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxvi,SHIP,"The unusual phase frigate put-togethers labeled as “Epattcud XVI” would seem to be an old munitions carrier blueprint, with its tiny hangar bay ripped out to install a small phase coil from a Tri-Tachyon frigate, ammo lines run under the thin hull to various segments of the ship, allowing it to sport a hefty kick, at the expense of functional missile strike capabilities. Hegemony officials have been observed mass-purchasing the aging blueprint chips, and shutting down any auction of a master chip for the design, likely in an attempt to make it impossible to use for these hackjob frigates.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxviii,SHIP,"Sometimes rogue Tri-Tachyon engineers and blueprinters band together in the name of rebellion. Sometimes that results in failed prototypes and abandoned ideas. Sometimes that results in station raids by Tri-Tach delegates, resulting in dozens of deaths and arrests. Other times the engineers vanish, and unorthodox, scarily competent ships of questionable origin begin populating the unlawful strata of the sector’s fringe, occasionally making raids on core stations and supply lines. The “Epattcud XVIII” is one such ship. Bastardized from a conglomerate of reformed and redistributed phase ship parts and custom autofactory components; all somewhat precisely fitted into a gutted and re-welded Atlas hull. This nightmarish vessel boasts a custom rigged phase jump system, routed to a single core deep in the centre of the ship. Engraving on the side of the core indicates in distorted lettering that it is intended as a “Phase Leap” system. When activated, it looks likely that the system could arc volatile energy through most of the ship’s systems, potentially causing ruinous damage if internal armor bulkheads are breached. Under the scrawled text is a holo-generator displaying several names and ships, playing a barely-audible contrived fanfare while detailing the “noble” sacrifice of the ships and crew that died during the first successful “jump”.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxx,SHIP,"A bizarre, confusing conglomerate of pirate design, the Epattcud XX is rarely seen. Its internals are a compressed and surprisingly efficient array of additive ammo feeders and microfactories, sporting an eerily effective shield and the gutted and redesigned parts from several stolen Tri-Tachyon designs. This vessel has been known to field few weapons, but that does little to belay its effectiveness, as the astoundingly well-compressed subsystems and hull modifications it often comes stocked with combined with built-in point defense make it a terror on the battlefield, regardless of its weaponry. 

Despite this, the ships costs are extreme for its scale, and only richer pirate leaders would likely be affluent or connected enough to procure and maintain one, not to mention outfit it effectively.

It is almost miraculous that this ship works at all, or that its crew are well protected inside the ships sprawling mechanisms. Such design competency is unusual for Pirate engineers, though with enough money and iterations, ship developments such as this are certainly within the realm of possibility.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxix,SHIP,"A fearsome battle tanker that has been commonly spotted in the fringe core systems, this ship style has earned a reputation for causing mass casualties on hegemony convoy fleets and light patrols. The otherwise unassuming combat freighter has an in-built overdrive system that enables it to flank enemy vessels with uncanny speed, though it often shorts out its own systems doing so. In addition to this, ammofeeders and flux sinks are precisely configured to  overclock during an engine injection, overwhelming potential targets in an array of ordnance before shorting out.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxxi,SHIP,"A short time after the collapse, off-market variations of the Phaeton gained significant popularity, until the Hegemony began sanctioning producers for their weaponised production chips. The remaining blueprints and production chips have petered off over time, but it appears a rich enterprising pirate group have recreated a more popular variant as a new design chip. The original design came with a fully fledged fighter bay, but this design has little space for a modular bay, instead opting to sport a built in wing of auto-painted pirate talons with modified annihilator launchers.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxxii,SHIP,"While Buffalo refits are not uncommon and are abundant across the sector, this ship is actually a cross-cut section of a Colossus with Buffalo hull segments welded and atmospherically sealed around the cargo bays, with a barely contained Hellbore cannon connected haphazardly to small frontal shell feeder.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
LTA_Epattcudxxiii,SHIP,"A vicious and deadly fast cruiser, the Wight stands aside from usual pirate cruiser design trends by virtue of all of its parts being blueprinted unique pieces that are custom autofactory-constructed; seemingly designed to slot into and around the hollowed out husks of Aurora class cruisers found rarely in ship graveyards, stripped of all their valuable parts. Despite this, it shares in the usual oversights of off-market engineering, boasting such incredible unreliability on the battlefield that the engineers designing the vessel saw fit to implement an automated repair unit to offset the ridiculous task of maintaining it. 

These designs have been known to be extremely dangerous, but as so few are seen many are unaware of the risks that come with hunting down captains of these vessels, with many central-core dwelling officers and captains believing the designs little more than rumour, likely spread in an effort to misinform Hegemony officials about the combat strengths of various freedom-fighter movements attempting to threaten their annexes of previously-independent worlds.

Epattcud is a name given to a variety of often pirate-constructed designs derived entirely or predominantly of scrap parts and materials.  

Due to the many issues with haphazardly slapping scrap plating and cheap flux cores onto even cheaper chassis, crew on ships like these are often required to wear atmosphere-sealed suits when venturing outside of their quarters and the bridge, as aside from these two sections of the ship, many areas are not fully flushed with atmosphere, and some are even left with blatant holes leading to outer space. 

These ships vary in almost every way, and can pose a threat, or a weak link in their fleet, depending on their loadout and hull specifications.

Some more adventurous pirate lords invest in the development of semi-intelligently-planned part-autofactory-built Epattcud designs, the result of which are far more effective and dangerous ships, which often wreak havoc on underprepared fleets. This method even proves cost effective, as it routes most of the monetary costs of requisitioning large amounts of time from one of the few pirate-owned autofactories.",,,
